player_name,pitch_type,balls,xRV,xRV_100
"Abbott, Cory",FF,323,-5.1830197721246565,-1.6046500842491196
"Abreu, Albert",FF,34,-0.24236068606413902,-0.7128255472474677
"Abreu, Albert",SI,566,-8.598317073820853,-1.5191372921944972
"Abreu, Bryan",FF,499,-11.301346367563218,-2.2647988712551537
"Acevedo, Domingo",FF,70,0.00018616594802597225,0.0002659513543228175
"Acevedo, Domingo",SI,3,-0.027075659887492654,-0.9025219962497552
"Acton, Garrett",FF,85,-1.5282518983181566,-1.7979434097860667
"Adam, Jason",FF,303,-7.069582951344363,-2.333195693512991
"Adams, Austin",FF,37,-1.5263759854993781,-4.125340501349671
"Adcock, Ty",FF,91,-1.2024571008376777,-1.3213814294919535
"Adon, Joan",FF,365,-2.0871889763727722,-0.571832596266513
"Adon, Joan",SI,126,-1.18356847379636,-0.9393400585685397
"Alcala, Jorge",FF,70,-1.6252019274495542,-2.321717039213649
"Alcala, Jorge",SI,48,-1.0735911682719363,-2.2366482672332006
"Alcantara, Sandy",FF,579,-10.949788479798565,-1.8911551778581286
"Alcantara, Sandy",SI,789,-16.259129568843996,-2.0607261810955633
"Almonte, Yency",FC,6,-0.21708147653131743,-3.6180246088552903
"Almonte, Yency",FF,129,-1.0883716626109554,-0.8436989632643066
"Almonte, Yency",SI,211,-5.6443634346546805,-2.675053760499849
"Alzolay, Adbert",FC,95,-0.8136546300340444,-0.856478557930573
"Alzolay, Adbert",FF,200,-2.7072886051226406,-1.3536443025613203
"Alzolay, Adbert",SI,184,-3.232490575269703,-1.7567883561248383
"Anderson, Chase",FC,380,-5.600278387288837,-1.4737574703391676
"Anderson, Chase",FF,451,-4.437323939453345,-0.9838855741581696
"Anderson, Chase",SI,105,-0.5630740108188241,-0.5362609626845943
"Anderson, Grant",FF,104,-2.858223172521591,-2.7482915120399913
"Anderson, Grant",SI,166,-1.66732899692388,-1.0044150583878795
"Anderson, Nick",FF,264,0.6289923069035637,0.23825466170589535
"Anderson, Nick",SI,9,0.027211912230961015,0.3023545803440113
"Antone, Tejay",FF,18,-0.5462735383071005,-3.034852990595003
"Antone, Tejay",SI,17,-0.2015474009853903,-1.1855729469728842
"Armstrong, Shawn",FC,300,-6.443906131904987,-2.147968710634996
"Armstrong, Shawn",FF,166,-3.282037727590557,-1.9771311611991307
"Armstrong, Shawn",SI,272,-1.7332980783101168,-0.63724194055519
"Ashcraft, Graham",FC,1217,-13.563859587300486,-1.1145324229499167
"Ashcraft, Graham",SI,224,-3.202296569390706,-1.429596682763708
"Assad, Javier",FC,466,-7.19469285357726,-1.5439255050594978
"Assad, Javier",FF,328,-1.2307333749871698,-0.37522358993511273
"Assad, Javier",SI,526,-4.2438914260234215,-0.8068234650234641
"Avila, Pedro",FF,289,-3.6513752330166684,-1.2634516377220306
"Avila, Pedro",SI,188,-1.103475290731713,-0.5869549418785707
"Bachman, Sam",SI,121,-2.2667075555807683,-1.8733120294055936
"Baker, Bryan",FF,441,-4.79785530066695,-1.0879490477702836
"Balazovic, Jordan",FF,186,-1.5625516292829065,-0.8400815211198421
"Bard, Daniel",FF,128,-3.2515050067170863,-2.5402382864977238
"Bard, Daniel",SI,349,-4.542026488804677,-1.3014402546718271
"Barlow, Joe",FF,53,-0.4456879013571887,-0.8409205685984693
"Barlow, Scott",FF,254,-4.005837496195466,-1.5771013764549078
"Barlow, Scott",SI,97,-1.1708455443159704,-1.2070572621814128
"Barnes, Jacob",FC,98,-1.5952816504430491,-1.6278384188194381
"Barnes, Jacob",FF,102,-0.9376754968147725,-0.9192897027595809
"Barnes, Matt",FF,182,-2.9345776660203,-1.6124053110001648
"Barraclough, Kyle",FC,23,-0.46623158610849635,-2.027093852645636
"Barraclough, Kyle",FF,42,-0.6886078856678214,-1.6395425849233842
"Barraclough, Kyle",SI,35,-0.7466262569271027,-2.133217876934579
"Barria, Jaime",FF,409,-4.178247695922106,-1.0215764537706862
"Barria, Jaime",SI,63,-1.2369398161053657,-1.9633965335005805
"Bass, Anthony",FF,26,0.17169346740217878,0.66035949000838
"Bass, Anthony",SI,95,-0.2042815567906945,-0.21503321767441527
"Bassitt, Chris",FC,474,-7.318877481869199,-1.5440669792972994
"Bassitt, Chris",FF,292,-4.074973460822645,-1.3955388564461113
"Bassitt, Chris",SI,1234,6.2118398564599335,0.5033905880437548
"Battenfield, Peyton",FC,223,-4.720923321722642,-2.1170059738666556
"Battenfield, Peyton",FF,242,-1.1471743744178673,-0.4740389976933336
"Baumann, Mike",FF,550,-10.806620952178083,-1.9648401731232876
"Bautista, Félix",FF,695,-16.258027049073377,-2.339284467492572
"Bazardo, Eduard",FF,67,-0.6810959265962242,-1.0165610844719764
"Bazardo, Eduard",SI,58,-0.41208946365267035,-0.7104990752632246
"Beck, Tristan",FF,476,-6.503157524646166,-1.3662095640012955
"Bednar, David",FF,641,-17.46419220481902,-2.724522964870362
"Bellatti, Andrew",FF,215,-1.9687943205919114,-0.9157182886474007
"Bello, Brayan",FC,37,-0.45621236044441665,-1.2330063795795045
"Bello, Brayan",FF,540,-9.989390919051765,-1.8498872072318082
"Bello, Brayan",SI,937,-12.059918799985605,-1.2870777801478768
"Berroa, Prelander",FF,17,-0.06455203741565348,-0.37971786715090283
"Berríos, José",FF,598,-6.488995523613737,-1.0851163082966115
"Berríos, José",SI,925,-5.974914313064818,-0.6459366824934938
"Bibee, Tanner",FF,1092,-13.038973998822224,-1.1940452379873832
"Bickford, Phil",FF,872,-22.722656351153894,-2.605809214581869
"Bido, Osvaldo",FC,30,-0.7101026525287889,-2.36700884176263
"Bido, Osvaldo",FF,263,-3.42725792784646,-1.3031398965195664
"Bido, Osvaldo",SI,219,-3.8433654548548626,-1.7549613949108962
"Bieber, Shane",FC,523,-10.087679208804246,-1.9288105561767201
"Bieber, Shane",FF,687,3.3726325907127004,0.49092177448510926
"Bielak, Brandon",FF,421,-0.0487389799296854,-0.011576954852656864
"Bielak, Brandon",SI,300,-2.1485854941737603,-0.7161951647245868
"Bird, Jake",FC,198,-3.5477444109113874,-1.7917901065209028
"Bird, Jake",SI,807,-7.426805864035544,-0.9202981244158048
"Blackburn, Paul",FC,382,-9.674126979014073,-2.532493973563893
"Blackburn, Paul",FF,272,-3.1340979585274584,-1.152241896517448
"Blackburn, Paul",SI,452,-2.0161320108782963,-0.44604690506156996
"Blanco, Ronel",FF,363,-4.791111160736717,-1.3198653335362858
"Bolton, Cody",FF,248,-2.060128676063474,-0.8306970467997878
"Boushley, Caleb",FF,11,-0.35310420381943697,-3.2100382165403363
"Boushley, Caleb",SI,12,-0.15633845014348627,-1.3028204178623854
"Bowlan, Jonathan",FF,22,-0.14807359551154076,-0.6730617977797307
"Bowlan, Jonathan",SI,7,-0.26074921617247165,-3.724988802463881
"Bowman, Matt",FC,12,-0.38035363140255213,-3.169613595021268
"Bowman, Matt",SI,42,-0.5039623276576399,-1.1999103039467616
"Boxberger, Brad",FF,184,0.7691402712815443,0.4180110170008393
"Boyle, Joe",FC,1,0.015711787581443783,1.5711787581443784
"Boyle, Joe",FF,139,-2.9024247882655354,-2.0880753872413926
"Bracho, Silvino",FF,55,-0.7081195914443582,-1.2874901662624694
"Bradish, Kyle",FF,588,-10.425028283015545,-1.7729639937101267
"Bradish, Kyle",SI,543,-3.045418088239079,-0.5608504766554473
"Bradley, Archie",FF,67,0.1406163204452722,0.20987510514219732
"Bradley, Archie",SI,43,-1.1161015556501224,-2.5955850131398193
"Bradley, Taj",FC,442,-6.727080115302431,-1.5219638269915001
"Bradley, Taj",FF,819,-10.807598916186578,-1.3196091472755285
"Brash, Matt",FC,53,-2.0014745751114815,-3.7763671228518523
"Brash, Matt",FF,439,-10.074168116805277,-2.294799115445393
"Brash, Matt",SI,39,-1.4707550985254347,-3.771166919295986
"Brasier, Ryan",FC,122,-1.229336652680859,-1.007652994000704
"Brasier, Ryan",FF,327,-4.971481626257985,-1.5203307725559587
"Brasier, Ryan",SI,132,-3.158459540130198,-2.3927723788865136
"Brazoban, Huascar",FC,323,-6.04928406527778,-1.8728433638630897
"Brazoban, Huascar",FF,177,-1.0041068909874185,-0.5672920288064511
"Brazoban, Huascar",SI,216,-3.952364747880766,-1.8297984943892434
"Brebbia, John",FF,309,-6.086007002811133,-1.96958155430781
"Brewer, Colten",FC,52,0.04955454255067742,0.09529719721284119
"Brewer, Colten",SI,2,0.014830838594585664,0.7415419297292832
"Brieske, Beau",FF,248,-2.109619091903418,-0.850652859638475
"Brieske, Beau",SI,123,-2.2436981989085676,-1.824144877161437
"Brigham, Jeff",FC,125,-2.913782978564316,-2.3310263828514532
"Brigham, Jeff",FF,266,-5.900038220683112,-2.2180594814598167
"Bristo, Braden",FC,57,-0.5274752135577611,-0.925395111504844
"Bristo, Braden",SI,24,0.43071625340767206,1.7946510558653002
"Brito, Jhony",FF,246,-4.660382573193964,-1.8944644606479528
"Brito, Jhony",SI,463,-7.294739833226799,-1.575537760956112
"Brogdon, Connor",FC,132,-3.2968406508912493,-2.497606553705492
"Brogdon, Connor",FF,177,-2.615866681386053,-1.477890780444098
"Brown, Hunter",FF,1253,-10.116055408064344,-0.807346800324369
"Brown, Hunter",SI,5,-0.02558049376383422,-0.5116098752766844
"Bukauskas, J.B.",FF,2,-0.08254338476136325,-4.127169238068163
"Bukauskas, J.B.",SI,45,0.12015231635682287,0.2670051474596064
"Burdi, Nick",FF,41,-1.3152902223914862,-3.2080249326621613
"Burdi, Zack",FF,24,-0.2503209264542907,-1.0430038602262113
"Burnes, Corbin",FC,1694,-26.73725261071973,-1.5783502131475637
"Burnes, Corbin",SI,236,-5.220929384414203,-2.212258213734832
"Busenitz, Alan",FC,27,-0.028675897114723944,-0.10620702635082943
"Busenitz, Alan",FF,39,-0.07755409247074276,-0.19885664736087888
"Busenitz, Alan",SI,2,0.0961909234356135,4.809546171780675
"Bush, Matt",FF,101,-1.4021006207166238,-1.388218436353093
"Bush, Matt",SI,13,-0.018457601189613315,-0.1419815476124101
"Butto, José",FF,373,-6.626523458062671,-1.7765478439846303
"Butto, José",SI,41,-0.33875673897154623,-0.8262359487110884
"Cabrera, Edward",FF,498,-9.073980774583235,-1.8220844928881998
"Cabrera, Edward",SI,171,-5.117005516685964,-2.9924008869508563
"Caceres, Kelvin",SI,16,-0.36792229358367623,-2.2995143348979763
"Calvo, Blair",SI,5,-0.03233652086183428,-0.6467304172366856
"Campbell, Isaiah",FF,222,-3.6558449203135446,-1.6467769911322272
"Canning, Griffin",FF,728,-6.92351852694936,-0.9510327646908462
"Canning, Griffin",SI,10,-0.015831530193425702,-0.15831530193425702
"Cano, Yennier",FF,30,-0.7068271512199193,-2.356090504066398
"Cano, Yennier",SI,558,-9.009144781990248,-1.6145420756254925
"Carasiti, Matt",FC,28,-0.17069236402920798,-0.6096155858185999
"Carasiti, Matt",SI,266,-1.5701226389068208,-0.5902716687619627
"Carlton, Drew",FF,160,-0.9457895694747567,-0.5911184809217229
"Carlton, Drew",SI,72,-0.10432969739474357,-0.14490235749269942
"Carrasco, Carlos",FC,6,-0.10712040601149202,-1.7853401001915337
"Carrasco, Carlos",FF,506,-4.547793520322116,-0.8987734229885603
"Carrasco, Carlos",SI,164,-2.7529300534920997,-1.6786158862756706
"Castillo, Diego",FF,21,0.11720330313928427,0.558110967329925
"Castillo, Diego",SI,33,-0.04705512145915995,-0.14259127714896955
"Castillo, Luis",FF,1423,-27.40217593206338,-1.9256623985989725
"Castillo, Luis",SI,573,-5.953203805122594,-1.0389535436514126
"Castillo, Max",FF,145,-1.559955297506746,-1.075831239659825
"Castro, Miguel",SI,427,-8.068100555888751,-1.8894849077022837
"Cease, Dylan",FF,1396,-19.91481828858538,-1.426562914655113
"Cecconi, Slade",FF,245,-1.7512399821783413,-0.7147918294605474
"Cessa, Luis",FF,109,2.432668835700024,2.2318062712844258
"Cessa, Luis",SI,77,1.0582387346157804,1.374336018981533
"Chargois, JT",FF,55,-1.0521932144568302,-1.9130785717396912
"Chargois, JT",SI,354,-4.548584199716709,-1.2849107908804263
"Chavez, Jesse",FC,288,-3.6255011676272826,-1.2588545720928064
"Chavez, Jesse",SI,173,3.9097341047797354,2.2599619102773034
"Chirinos, Yonny",FF,24,-0.23855036942847074,-0.9939598726186282
"Chirinos, Yonny",SI,629,-6.826060660845675,-1.0852242704047177
"Cimber, Adam",FF,152,-3.5583836541138587,-2.3410418777064863
"Cimber, Adam",SI,110,-1.4795617732405661,-1.345056157491424
"Cisnero, José",FC,134,-3.310381042860494,-2.470433614074995
"Cisnero, José",FF,362,-2.2657848938473584,-0.6259074292396017
"Cisnero, José",SI,211,-3.3004685098499524,-1.5642030852369442
"Civale, Aaron",FC,747,-6.2350341366965845,-0.8346765912579096
"Civale, Aaron",FF,246,-1.7052450045386327,-0.6931890262352166
"Civale, Aaron",SI,373,3.5810405367558826,0.9600644870659203
"Clarke, Taylor",FF,309,-1.3998286599621172,-0.45301898380651046
"Clase, Emmanuel",FC,750,-18.226830790005113,-2.430244105334015
"Clase, Emmanuel",FF,5,-0.10726060983873903,-2.145212196774781
"Clevinger, Mike",FC,169,-4.455022812775371,-2.636108173239865
"Clevinger, Mike",FF,1000,-5.322466158938593,-0.5322466158938594
"Clevinger, Mike",SI,54,-1.442170051074773,-2.6706852797680978
"Cobb, Alex",FF,7,-0.14955370241329075,-2.136481463047011
"Cobb, Alex",SI,994,-10.743497777932301,-1.0808347865123038
"Cole, Gerrit",FC,225,-5.969335337981447,-2.6530379279917544
"Cole, Gerrit",FF,1739,-30.466249455417703,-1.751940739241961
"Coleman, Dylan",FC,102,-1.7937183127604774,-1.7585473654514485
"Coleman, Dylan",FF,140,-1.8013996122825602,-1.2867140087732574
"Colomé, Alex",FC,30,-0.2570577967736972,-0.8568593225789908
"Colomé, Alex",FF,30,-0.05758625688012688,-0.19195418960042293
"Contreras, Roansy",FF,459,-2.0644958965363998,-0.44978124107546835
"Coonrod, Sam",FC,43,0.08278578070513914,0.19252507140730032
"Coonrod, Sam",FF,26,-0.7457044015802443,-2.8680938522317088
"Coonrod, Sam",SI,38,-0.7028083361957221,-1.84949562156769
"Cordero, Jimmy",FF,3,-0.01899493647515774,-0.6331645491719247
"Cordero, Jimmy",SI,359,-9.097552356451393,-2.5341371466438423
"Cousins, Jake",FF,33,-1.1370368844132464,-3.445566316403777
"Cousins, Jake",SI,58,-1.8949586777381597,-3.2671701340313097
"Covey, Dylan",FC,191,-1.3934032636460223,-0.7295305045267132
"Covey, Dylan",SI,303,-4.424888286191819,-1.4603591703603362
"Crawford, Brandon",FF,4,-0.05059189021736383,-1.2647972554340958
"Crawford, Kutter",FC,595,-13.057060040020378,-2.1944638722723324
"Crawford, Kutter",FF,821,-8.269880997726414,-1.0072936659837288
"Crismatt, Nabil",FF,51,0.034836898736469474,0.0683076445813127
"Crismatt, Nabil",SI,16,-0.04908309198282654,-0.30676932489266584
"Criswell, Cooper",FC,139,-3.709541476019658,-2.6687348748342865
"Criswell, Cooper",SI,184,-0.2570442668717352,-0.13969797112594304
"Cronin, Declan",FF,6,0.013729613963700846,0.2288268993950141
"Cronin, Declan",SI,84,-1.9704111684625503,-2.345727581503036
"Crowe, Wil",FF,47,-1.83252310808936,-3.8989853363603406
"Cruz, Fernando",FC,267,-5.680346888183861,-2.12747074463815
"Cruz, Fernando",FF,394,-2.624194360038265,-0.6660391776746866
"Cruz, Fernando",SI,5,-0.05254426430240272,-1.0508852860480544
"Cruz, Steven",FC,18,0.015479294098308338,0.08599607832393522
"Cruz, Steven",FF,107,-1.6885138411835547,-1.5780503188631352
"Cruz, Steven",SI,53,-2.051507328793732,-3.870768544893834
"Cuas, Jose",FF,230,-8.252556338389077,-3.588067973212642
"Cuas, Jose",SI,578,-7.875131247749142,-1.3624794546278793
"Cueto, Johnny",FC,24,-0.10769486707299945,-0.4487286128041644
"Cueto, Johnny",FF,296,-4.109994901424832,-1.3885117910219027
"Cueto, Johnny",SI,169,-2.957149545038864,-1.7497926302005113
"Curry, Xzavion",FF,709,0.6658592532061978,0.09391526843528883
"Curtiss, John",FF,168,-0.5670843088935127,-0.33755018386518615
"Cyr, Tyler",FC,1,-0.0812398775238078,-8.123987752380781
"Cyr, Tyler",FF,17,-0.3716576271565631,-2.186221336215077
"Daniel, Davis",FF,115,-0.8655682775346561,-0.7526680674214401
"Danner, Hagen",FF,4,-0.11523387343548239,-2.8808468358870596
"Darvish, Yu",FC,202,-3.267448779912852,-1.6175489009469564
"Darvish, Yu",FF,369,-6.981577820899058,-1.892026509728742
"Darvish, Yu",SI,413,-2.987650893873986,-0.723402153480384
"Davies, Zach",FC,168,-4.452289200909435,-2.6501721433984735
"Davies, Zach",FF,337,-1.7928936593712304,-0.5320159226620861
"Davies, Zach",SI,487,-0.9816142927307777,-0.20156350980098106
"Davis, Noah",FC,102,-2.271604679437455,-2.2270634112131913
"Davis, Noah",FF,10,-0.09208951007947326,-0.9208951007947326
"Davis, Noah",SI,303,-0.5695021426912861,-0.18795450253837825
"De Jong, Chase",FF,83,-1.2296153049342333,-1.4814642228123294
"De León, José",FC,29,-0.5530328896038235,-1.9070099641511153
"De León, José",FF,148,-2.503502128694509,-1.6915554923611547
"De Los Santos, Enyel",FF,634,-1.200856451067328,-0.18940953486866374
"De Los Santos, Yerry",SI,244,-2.3773906741878945,-0.9743404402409405
"DeSclafani, Anthony",FF,193,-5.409396659289068,-2.8027961965228334
"DeSclafani, Anthony",SI,430,-3.4270460973419246,-0.796987464498122
